Label	EntryID	Published	Tweet(Title)	FavouriteCount	Geo	Source	AuthorName	AuthorURL	Language	Retweets	Timezone(blank)	UserFavourites	UserFollowers	UserTweets	UserFollowing
pingdemic	1420837593722281984	Thu Jul 29 20:04:14 +0000 2021	The problem is not the pingdemic, it's the pandemic. Not the dinghies, it's the yachts. Not the jobseekers, it's the tax avoiders. Not the public, not Jeremy Corbyn, not Meghan Markle, not ungrateful lefties. It's the Tories.	1199		Twitter for iPhone	Dave	DaveAFloyd	en	434		11728	721	12919	1110
pingdemic	1420837383025614848	Thu Jul 29 20:03:24 +0000 2021	I am informed that, according to the  Daily Fail, the shortage of goods on supermarkert shelves is down to the "pingdemic	0		Twitter Web App	Bunker birder	BirderBunker	en	0		1014	70	958	211
pingdemic	1420837371512250368	Thu Jul 29 20:03:21 +0000 2021	RT @Hepworthclare: Brexit must share blame for empty supermarket shelves https://t.co/xHxZNge7jf	87		Twitter for Android	Anne Sones 💙 BLM.	anne_sones	en	66		162849	1499	72659	2365
pingdemic	1420837253706813440	Thu Jul 29 20:02:53 +0000 2021	Would the UK government go so far as to use the contrived #Pingdemic to engineer a #food shortage in order to destabilise society, perhaps as a pretext for more brutal lockdowns in the coming months, ie. curfews, police &amp; military checkpoints, vaccine passport barriers etc?	764		Twitter Web App	MARTIN MC DERMOTT	MARTINM54282864	en	267		6711	13	1534	56
pingdemic	1420837204792840192	Thu Jul 29 20:02:42 +0000 2021	RT @ThatTimWalker: Brexit must share blame for empty supermarket shelves https://t.co/RZc77dj3MZ	415		Twitter for iPhone	🇪🇺 Jack of Diamonds ❄️	Tonybirte	en	115		25100	2304	58040	4396
pingdemic	1420837172685508608	Thu Jul 29 20:02:34 +0000 2021	Would the UK government go so far as to use the contrived #Pingdemic to engineer a #food shortage in order to destabilise society, perhaps as a pretext for more brutal lockdowns in the coming months, ie. curfews, police &amp; military checkpoints, vaccine passport barriers etc?	764		Twitter for Android	OneHorseGuy	Onehorseguy5	en	267		39614	358	9567	321
pingdemic	1420837163286020096	Thu Jul 29 20:02:32 +0000 2021	So the “pingdemic” will end on Aug 16th.  Can we have assurances from @Conservatives, @ScotTories &amp; all the Brexshit deniers that our shelves will suddenly be full of produce &amp; there will be no staffing shortages after thst magical date?  Or you simply all fūçking liars?	63		Twitter for iPhone	H🏴󠁧󠁢󠁳󠁣󠁴󠁿🇨🇾 🇪🇺	noeasythis	en	26		22271	884	18815	1015
pingdemic	1420836968716460032	Thu Jul 29 20:01:45 +0000 2021	Even the Guardian is falling for this. Ask hauliers and suppliers. It’s Brexit and labour shortages  “Shortages of goods supplied to factories, building sites and shops began to take their toll and the “pingdemic” forced workers to isolate” https://t.co/lyFG9vDG9U	224		Twitter for Android	TrabiMechanic	TrabiMechanic	en	107		43000	1573	56588	4180
pingdemic	1420836938639097856	Thu Jul 29 20:01:38 +0000 2021	“I appreciate that it is a significant number of people and it can be frustrating, but the app is doing what we asked of it.” #pingdemic #Crawley #Crawley  https://t.co/n7b8TUnWPW	0		Cool Sussex 1	Cool Sussex	CoolSussex	en	1		0	6435	436938	825
pingdemic	1420836713073680384	Thu Jul 29 20:00:44 +0000 2021	Only 13% of Covid test centres for critical workers are open, No 10 admits https://t.co/9LQ9FLdjF4	0		Twitter Web App	TheWatcher	Divideandattack	en	0		1752	45	40215	80
pingdemic	1420836668970504192	Thu Jul 29 20:00:34 +0000 2021	Nearly 700,000 alerts were sent out by the NHS Covid-19 tracing app last week telling people to self-isolate, as the impact of the “pingdemic” continues to play out across the country. https://t.co/W9A09pf636 via ⁦@thetimes⁩	0		trackntracer	trackntrace	trackntracer	en	1		11	1161	292143	4
pingdemic	1420836646757576704	Thu Jul 29 20:00:29 +0000 2021	Nearly 700,000 alerts were sent out by the NHS Covid-19 tracing app last week telling people to self-isolate, as the impact of the “pingdemic” continues to play out across the country. https://t.co/W9A09pf636 via ⁦@thetimes⁩	0		Twitter for iPhone	Nino Brodin	Orgetorix	en	1		92189	3317	1096046	5001
pingdemic	1420836628399104000	Thu Jul 29 20:00:24 +0000 2021	Would the UK government go so far as to use the contrived #Pingdemic to engineer a #food shortage in order to destabilise society, perhaps as a pretext for more brutal lockdowns in the coming months, ie. curfews, police &amp; military checkpoints, vaccine passport barriers etc?	764		Twitter for Android	Caroline Milligan	huntress2012	en	267		6165	200	24492	305
pingdemic	1420836550061985792	Thu Jul 29 20:00:06 +0000 2021	If the NHS app (or the Test &amp; Trace App) tells you to self-isolate and you have to cancel a trip, our travel insurance has you covered. We’re here if you need us 💚 #pingdemic #travel https://t.co/lnzwvJNoVV https://t.co/VGDU0elbyU	0		Salesforce - Social Studio	LV=	lv	en	0		1151	13999	10350	130
pingdemic	1420836527475728384	Thu Jul 29 20:00:00 +0000 2021	“I appreciate that it is a significant number of people and it can be frustrating, but the app is doing what we asked of it.” #pingdemic #Crawley #Crawley  https://t.co/n7b8TUnWPW	0		TweetDeck	Crawley Observer	Crawley_Obby	en	1		385	8321	34910	621
pingdemic	1420836526657659136	Thu Jul 29 20:00:00 +0000 2021	Bin collections have been affected in one area of the county https://t.co/bYk1ETy812	0		TweetDeck	Buckinghamshire Live	BucksLiveNews	en	0		141	8687	17371	279
pingdemic	1420836514142072832	Thu Jul 29 19:59:57 +0000 2021	RT @Hepworthclare: Brexit must share blame for empty supermarket shelves https://t.co/xHxZNge7jf	87		Twitter for iPad	Peter M	Peter_Mun	en	66		14446	1719	35627	1611
pingdemic	1420836364690640896	Thu Jul 29 19:59:21 +0000 2021	Ooo FFS he’s just been pinged. #pingdemic   Just what we needed.  😭	0		Twitter for iPhone	Heledd Evans	helivans	en	0		7263	479	2067	1287
pingdemic	1420836138047217664	Thu Jul 29 19:58:27 +0000 2021	The problem is not the pingdemic, it's the pandemic. Not the dinghies, it's the yachts. Not the jobseekers, it's the tax avoiders. Not the public, not Jeremy Corbyn, not Meghan Markle, not ungrateful lefties. It's the Tories.	1199		Twitter for Android	Happy Days	HappyDa03350444	en	434		989	13	1278	75
pingdemic	1420836017943232256	Thu Jul 29 19:57:59 +0000 2021	RT @ThatTimWalker: Brexit must share blame for empty supermarket shelves https://t.co/RZc77dj3MZ	415		Twitter for iPhone	Penelope Flynn	Penelop11785074	en	115		60932	695	97796	957
pingdemic	1420835992290930688	Thu Jul 29 19:57:53 +0000 2021	The problem is not the pingdemic, it's the pandemic. Not the dinghies, it's the yachts. Not the jobseekers, it's the tax avoiders. Not the public, not Jeremy Corbyn, not Meghan Markle, not ungrateful lefties. It's the Tories.	1199		Twitter for iPad	Colin Pritchard	colpritch	en	434		22373	15	240	92
pingdemic	1420835742876684288	Thu Jul 29 19:56:53 +0000 2021	‘A Convenient Scapegoat’: Empty Shelves are due to Brexit Not the Pingdemic   It’s no #coincidence that the so called #pingdemic strikes as Johnson wants all restrictions gone  #CovidIsNotOver   https://t.co/aUbI2UOoUH	271		Twitter for Android	Lucinda 🇪🇺 #FBPE	LucindaLakes	en	115		49616	2073	40331	2169
